|  j1   |  j2   |  j3   |  ng   |  zr   |  out  |
|   0   |   0   |   0   |   0   |   0   |   0   |
|   0   |   0   |   0   |   0   |   1   |   0   |
|   0   |   0   |   0   |   1   |   0   |   0   |
|   0   |   0   |   0   |   1   |   1   |   0   |
|   0   |   1   |   0   |   0   |   0   |   0   |
|   1   |   0   |   0   |   0   |   0   |   0   |
|   1   |   1   |   0   |   1   |   0   |   1   |
|   0   |   0   |   1   |   0   |   0   |   1   |
|   0   |   0   |   1   |   1   |   0   |   0   |
|   1   |   0   |   0   |   1   |   0   |   1   |
|   0   |   1   |   0   |   1   |   0   |   0   |
|   0   |   1   |   0   |   0   |   1   |   1   |
|   0   |   1   |   1   |   0   |   1   |   1   |
|   1   |   0   |   1   |   0   |   0   |   1   |
|   1   |   0   |   1   |   1   |   0   |   1   |
|   1   |   0   |   1   |   0   |   1   |   0   |
|   1   |   1   |   1   |   0   |   0   |   1   |
